CMS Incident Date,CMS CF Issue Date,CMS Complaint Close Date Year,CMS Complainant Source Desc,CMS Complainant Gender Desc,CMS Complainant Ethnicity Desc,CMS Accused at Incd Emp Type Desc,CMS Accused at Incd Gender Desc,CMS Accused at Incd Ethnicity Desc,CMS Allegation Type Description,CMS Disposition Type Description
,"August 14, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Unbecoming Conduct - Miscellaneous,Actions Could be Different
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,,White,Unbecoming Conduct - Miscellaneous,Actions Could be Different
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,Hispanic,Sworn Employee,FEMALE,White,Unbecoming Conduct - Miscellaneous,Unfounded
,"August 15, 2021",2022,Public-Person Involved,FEMALE,Black,Sworn Employee,FEMALE,Hispanic,Unauthorized Force,Demonstrably False
,"August 20, 2021",2022,Public-Person Involved,FEMALE,UNKNOWN,Sworn Employee,MALE,Hispanic,Unbecoming Conduct - Miscellaneous,Unfounded
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,,,,,,,,White,Unbecoming Conduct - Miscellaneous,Unfounded
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,"August 21, 2021",2022,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
,,,,,,,,White,Discourtesy - General,Demonstrably False
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
"August 13, 2021","August 13, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Black,Biased Policing,Demonstrably False
,,,,,,,,White,Biased Policing,Demonstrably False
"August 14, 2021","August 14, 2021",2022,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,White,Discourtesy - General,Unfounded
,,,,,White,Sworn Employee,MALE,Hispanic,Discourtesy - General,Unfounded
,,,,MALE,Hispanic,Sworn Employee,MALE,American Indin,Unauthorized Force,Unfounded
,,,,,,,,Asian,Unauthorized Force,Unfounded
,,,,,,,,Hispanic,Unauthorized Force,Unfounded
,,,Public-Third Party,MALE,NULL,Sworn Employee,MALE,Black,Discourtesy - General,Unfounded
,,,,,White,Sworn Employee,MALE,Black,Discourtesy - General,Unfounded
,,,,NULL,NULL,Sworn Employee,MALE,Black,Discourtesy - General,Unfounded
,"August 15, 2021",2022,Public-Third Party,FEMALE,UNKNOWN,Sworn Employee,FEMALE,Hispanic,Search Violation,Unfounded
,,,,,,,,,Unbecoming Conduct - Miscellaneous,No Misconduct
,,,,,,,MALE,Hispanic,Unbecoming Conduct - Miscellaneous,No Misconduct
,,,,,,,,,Search Violation,Unfounded
,"August 17, 2021",2022,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Asian,Search Violation,Unfounded
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,,,,Hispanic,Search Violation,Unfounded
